code,start_date,end_date
002161.SZ,2007-08-21,2099-01-01
002162.SZ,2007-08-23,2099-01-01
002163.SZ,2007-08-23,2099-01-01
002164.SZ,2007-08-23,2099-01-01
002165.SZ,2007-09-13,2099-01-01
002166.SZ,2007-09-13,2099-01-01
002167.SZ,2007-09-13,2099-01-01
002168.SZ,2007-09-19,2099-01-01
002169.SZ,2007-09-19,2099-01-01
002170.SZ,2007-09-19,2099-01-01
002171.SZ,2007-09-21,2099-01-01
002172.SZ,2007-09-21,2099-01-01
002173.SZ,2007-09-25,2099-01-01
002174.SZ,2007-09-25,2099-01-01
002175.SZ,2007-10-12,2099-01-01
002176.SZ,2007-10-12,2099-01-01
002177.SZ,2007-11-01,2099-01-01
002178.SZ,2007-11-01,2099-01-01
002179.SZ,2007-11-01,2099-01-01
002180.SZ,2007-11-13,2099-01-01
002181.SZ,2007-11-16,2099-01-01
002182.SZ,2007-11-13,2099-01-01
002183.SZ,2007-11-13,2099-01-01
002184.SZ,2007-11-16,2099-01-01
002185.SZ,2007-11-20,2099-01-01
002186.SZ,2007-11-20,2099-01-01
002187.SZ,2007-11-22,2099-01-01
